slug,ra_deg,dec_deg
m31,10.6847,41.2688
m32,10.6743,40.8652
m33,23.4621,30.6602
m49,187.4449,8.0004
m51,202.4696,47.1953
m58,189.4317,11.8181
m59,190.5094,11.6469
m60,190.9165,11.5527
m61,185.4789,4.4738
m63,198.9553,42.0294
m64,194.1821,21.6827
m65,169.733,13.0923
m66,170.0626,12.9915
m74,24.1739,15.7836
m77,40.6696,-0.0133
m81,148.8882,69.0653
m82,148.9685,69.6797
m83,204.2538,-29.8658
m84,186.2656,12.887
m85,186.3502,18.1911
m86,186.5492,12.946
m87,187.7059,12.3911
m88,187.9965,14.4203
m89,188.9159,12.5563
m90,189.2075,13.1629
m91,188.8602,14.4963
m94,192.7211,41.1203
m95,160.9905,11.7037
m96,161.6906,11.8199
m98,183.4512,14.9005
m99,184.7068,14.4165
m100,185.7289,15.8223
m101,210.8024,54.3488
m102,226.6232,55.7633
m104,189.9976,-11.6231
m105,161.9567,12.5816
m106,184.7401,47.3037
m108,167.879,55.6741
m109,179.3998,53.3747
m110,10.0919,41.6854
ngc-2903,143.0421,21.5008
ngc-3628,170.0709,13.5895
m1,83.6324,22.0174
m8,270.9042,-24.3867
m16,274.688,-13.792
m17,275.1958,-16.1717
m20,270.675,-22.9717
m27,299.9015,22.7212
m42,83.8201,-5.3876
m43,83.8792,-5.27
m57,283.3962,33.0291
m76,25.5819,51.5754
m97,168.6988,55.019
m78,86.6908,0.0792
m2,323.3626,-0.8232
m3,205.5484,28.3773
m4,245.8968,-26.5258
m5,229.6384,2.081
m9,259.7991,-18.5162
m10,254.2877,-4.1003
m12,251.8091,-1.9485
m13,250.4235,36.4613
m14,264.4006,-3.2459
m15,322.493,12.167
m19,255.657,-26.2679
m22,279.0997,-23.9048
m28,276.137,-24.8698
m30,325.0922,-23.1799
m53,198.2302,18.1682
m54,283.7639,-30.4799
m55,294.9988,-30.9648
m56,289.1482,30.1835
m62,255.3025,-30.1124
m68,189.8666,-26.7441
m69,277.8462,-32.3481
m70,280.8032,-32.2921
m71,298.4437,18.7792
m72,313.3654,-12.5373
m75,301.5202,-21.9223
m79,81.0441,-24.5242
m80,244.26,-22.9761
m92,259.2808,43.1359
m107,248.1328,-13.0538
m6,265.0692,-32.2419
m7,268.4471,-34.8411
m11,282.7658,-6.2719
m18,274.9875,-17.0883
m21,271.0358,-22.505
m23,269.2371,-18.9869
m24,274.2,-18.55
m25,277.9371,-19.1139
m26,281.3171,-9.3861
m29,305.9417,38.4867
m34,40.5308,42.7219
m35,92.2721,24.3361
m36,84.0842,34.135
m37,88.0742,32.545
m38,82.1671,35.8239
m39,322.8892,48.2469
m41,101.4992,-20.7161
m44,130.0542,19.6211
m45,56.6008,24.1139
m46,115.445,-14.8439
m47,114.1471,-14.4889
m48,123.4121,-5.7261
m50,105.6842,-8.365
m52,351.195,61.59
m67,132.8458,11.8139
m93,116.1408,-23.8531
m103,23.3392,60.6589
